NAME,state_abbr,poverty_rate,high_school_grad_rate,median_household_income,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,total_population,state_code,year
Vermont,VT,10.4,27.6,74014,92.3,1.2,0.2,1.7,0.6,4.0,643816,50,2022
Virginia,VA,10.0,23.9,87249,63.5,18.9,0.3,6.9,2.2,6.9,8624511,51,2022
Washington,WA,9.9,21.8,90325,69.9,3.9,1.2,9.2,10.3,9.9,7688549,53,2022
West Virginia,WV,16.8,39.5,55217,91.4,3.4,0.1,0.8,0.7,3.7,1792967,54,2022
Wisconsin,WI,10.7,29.9,72458,82.5,6.2,0.7,2.9,5.1,5.4,5882128,55,2022
Wyoming,WY,10.7,28.1,72495,87.3,0.8,2.1,0.8,7.9,5.9,577929,56,2022
Puerto Rico,PR,42.2,nan,24002,43.6,8.8,0.2,0.2,0.2,23.3,3272382,72,2022
Alabama,AL,15.6,30.3,62027,65.4,26.1,0.4,1.4,5.4,4.5,5054253,1,2023
Alaska,AK,10.2,28.9,89336,60.7,3.1,13.8,6.4,7.1,12.2,733971,2,2023
Arizona,AZ,12.8,23.5,76872,63.2,4.6,4.1,3.4,31.0,16.2,7268175,4,2023
Arkansas,AR,16.0,34.4,58773,70.9,14.9,0.6,1.6,8.8,8.7,3032651,5,2023
California,CA,12.0,20.4,96334,44.0,5.5,1.1,15.3,39.8,16.3,39242785,6,2023
Colorado,CO,9.4,20.1,92470,73.5,4.0,1.0,3.2,22.2,12.7,5810774,8,2023
Connecticut,CT,10.0,25.5,93760,67.6,10.7,0.3,4.8,17.8,9.5,3598348,9,2023
Delaware,DE,10.7,29.0,82855,61.8,21.9,0.4,4.1,10.7,7.6,1005872,10,2023
District of Columbia,DC,14.5,14.5,106287,39.1,43.3,0.3,4.1,11.6,8.4,672079,11,2023
Florida,FL,12.6,27.4,71711,59.9,15.3,0.3,2.9,26.7,16.0,21928881,12,2023
Georgia,GA,13.5,26.9,74664,52.5,31.3,0.4,4.4,10.7,7.2,10822590,13,2023
Hawaii,HI,10.0,26.7,98317,22.5,1.9,0.3,37.3,9.8,26.0,1445635,15,2023
Idaho,ID,10.6,25.9,74636,83.3,0.7,1.1,1.3,13.3,8.4,1893296,16,2023
Illinois,IL,11.7,25.3,81702,63.3,13.8,0.5,5.8,18.5,9.2,12692653,17,2023
Indiana,IN,12.2,32.8,70051,78.5,9.3,0.3,2.5,8.4,6.3,6811752,18,2023
Iowa,IA,11.0,30.4,73147,85.6,3.9,0.3,2.4,7.0,5.6,3195937,19,2023
Kansas,KS,11.5,25.6,72639,77.9,5.4,0.7,2.9,13.3,9.0,2937569,20,2023
Kentucky,KY,16.1,32.7,62417,83.7,7.9,0.2,1.5,4.7,5.2,4510725,21,2023
Louisiana,LA,18.9,32.5,60023,58.0,31.1,0.6,1.7,6.9,6.3,4621025,22,2023
Maine,ME,10.8,30.5,71773,91.3,1.7,0.5,1.1,2.1,4.7,1377400,23,2023
Maryland,MD,9.3,23.7,101652,49.6,29.6,0.4,6.5,12.1,7.4,6170738,24,2023
Massachusetts,MA,10.0,22.8,101341,70.7,7.0,0.2,7.1,12.9,9.5,6992395,25,2023
Michigan,MI,13.1,28.2,71149,74.8,13.4,0.5,3.3,5.7,6.3,10051595,26,2023
Minnesota,MN,9.2,23.5,87556,78.4,6.8,0.9,5.1,6.2,6.2,5713716,27,2023
Mississippi,MS,19.1,29.9,54915,56.3,37.0,0.4,1.0,3.6,3.6,2951438,28,2023
Missouri,MO,12.6,30.3,68920,78.3,11.1,0.3,2.1,5.1,6.3,6168181,29,2023
Montana,MT,12.0,27.9,69922,85.7,0.5,5.7,0.8,4.4,6.0,1105072,30,2023
Nebraska,NE,10.3,25.1,74985,79.9,4.8,1.0,2.5,12.3,7.6,1965926,31,2023
Nevada,NV,12.6,27.4,75561,53.2,9.4,1.3,8.7,29.2,14.8,3141000,32,2023
New Hampshire,NH,7.2,27.0,95628,88.9,1.5,0.1,2.6,4.5,5.5,1387834,33,2023
New Jersey,NJ,9.8,25.7,101050,56.9,13.0,0.5,9.9,21.9,10.6,9267014,34,2023
New Mexico,NM,18.1,25.7,62125,53.6,2.1,9.5,1.7,48.2,20.9,2114768,35,2023
New York,NY,13.7,24.6,84578,57.1,14.7,0.5,8.9,19.6,8.9,19872319,36,2023
North Carolina,NC,13.2,25.0,69904,63.3,20.6,1.0,3.2,10.9,7.1,10584340,37,2023
North Dakota,ND,10.6,25.7,75949,83.9,3.2,4.5,1.6,4.5,5.3,779361,38,2023
Ohio,OH,13.2,32.3,69680,77.8,12.3,0.1,2.4,4.6,5.7,11780046,39,2023
Oklahoma,OK,15.3,30.7,63603,66.8,7.1,7.4,2.3,12.3,12.8,3995260,40,2023
Oregon,OR,11.9,22.4,80426,76.6,1.9,1.1,4.5,14.3,10.8,4238714,41,2023
Pennsylvania,PA,11.8,33.2,76081,75.8,10.7,0.2,3.7,8.4,6.1,12986518,42,2023
Rhode Island,RI,10.9,26.5,86372,72.3,5.8,0.4,3.5,17.1,10.7,1095371,44,2023
South Carolina,SC,14.2,28.2,66818,64.1,25.3,0.3,1.7,7.1,5.8,5212774,45,2023
South Dakota,SD,12.0,29.5,72421,81.5,2.2,7.7,1.4,4.6,5.6,899194,46,2023
Tennessee,TN,13.8,31.4,67097,73.5,15.9,0.2,1.8,7.1,6.0,6986082,47,2023
Texas,TX,13.8,24.3,76292,53.9,12.2,0.6,5.3,39.5,19.2,29640343,48,2023
Utah,UT,8.6,22.5,91750,80.7,1.1,1.0,2.4,15.4,8.3,3331187,49,2023
Vermont,VT,10.3,27.3,78024,91.4,1.2,0.2,1.7,2.5,4.8,645254,50,2023
Virginia,VA,9.9,23.9,90974,61.7,18.7,0.3,6.9,10.7,8.2,8657499,51,2023
Washington,WA,9.9,21.7,94952,67.8,4.0,1.2,9.4,14.1,11.4,7740984,53,2023
West Virginia,WV,16.6,39.5,57917,90.9,3.3,0.1,0.8,2.0,4.3,1784462,54,2023
Wisconsin,WI,10.6,29.7,75670,81.3,6.1,0.7,2.9,7.8,6.5,5892023,55,2023
Wyoming,WY,10.7,27.8,74815,86.0,0.9,2.1,0.8,10.4,7.1,579761,56,2023
Puerto Rico,PR,41.6,nan,25096,35.2,7.3,0.2,0.2,98.8,30.1,3254885,72,2023
Alabama,AL,15.2,29.9,66659,64.0,25.2,0.5,1.5,6.0,6.1,5157699,1,2024
Alaska,AK,10.2,28.5,95665,58.7,2.5,14.1,6.0,7.7,15.0,740133,2,2024
Arizona,AZ,11.7,23.3,81486,57.3,4.8,4.0,4.0,32.1,20.4,7582384,4,2024
Arkansas,AR,15.5,33.1,62106,68.2,14.2,0.5,1.8,9.5,11.8,3088354,5,2024
California,CA,11.8,20.5,100149,38.1,5.4,1.4,16.1,40.8,19.8,39431263,6,2024
Colorado,CO,9.6,19.0,97113,69.4,4.3,1.2,3.5,23.2,15.2,5957494,8,2024
Connecticut,CT,10.2,25.4,96049,63.7,10.8,0.4,4.8,19.2,12.3,3675069,9,2024
Delaware,DE,9.6,29.0,87534,58.2,22.0,0.4,4.8,11.7,9.1,1051917,10,2024
District of Columbia,DC,17.3,14.3,109707,37.6,41.3,0.6,5.0,12.6,9.8,702250,11,2024
Florida,FL,12.0,26.4,77735,54.2,14.8,0.4,3.1,28.7,20.6,23372215,12,2024
Georgia,GA,12.6,26.2,79991,49.8,30.6,0.5,4.9,11.6,8.7,11180878,13,2024
Hawaii,HI,10.0,27.2,100745,21.9,1.8,0.3,36.3,10.2,28.4,1446146,15,2024
Idaho,ID,10.5,26.3,81166,80.9,0.8,1.1,1.5,14.3,10.7,2001619,16,2024
Illinois,IL,11.6,24.6,83211,60.2,13.2,0.8,6.4,19.4,10.7,12710158,17,2024
Indiana,IN,12.2,32.0,71959,76.0,9.1,0.5,2.7,9.0,8.0,6924275,18,2024
Iowa,IA,11.3,29.0,75501,83.2,4.2,0.4,2.6,7.8,7.0,3241488,19,2024
Kansas,KS,10.9,25.4,75514,75.0,5.3,0.8,3.0,14.2,11.7,2970606,20,2024
Kentucky,KY,15.6,32.1,64526,81.4,7.1,0.3,1.9,5.5,7.5,4588372,21,2024
Louisiana,LA,18.7,32.9,60986,56.4,30.4,0.7,1.8,7.8,8.1,4597740,22,2024
Maine,ME,10.6,29.5,76442,89.7,2.1,0.4,1.3,2.3,5.7,1405012,23,2024
Maryland,MD,9.1,23.1,102905,46.9,29.1,0.5,6.9,13.3,9.2,6263220,24,2024
Massachusetts,MA,9.7,22.2,104828,66.7,6.9,0.2,7.7,14.0,12.1,7136171,25,2024
Michigan,MI,13.4,27.5,72389,73.0,13.0,0.5,3.7,6.1,7.7,10140459,26,2024
Minnesota,MN,9.3,23.0,87117,75.9,7.6,1.0,5.3,6.7,7.3,5793151,27,2024
Mississippi,MS,17.8,29.4,59127,55.6,35.9,0.5,1.2,4.0,4.8,2943045,28,2024
Missouri,MO,12.3,29.5,71589,77.6,10.5,0.3,2.3,5.6,7.3,6245466,29,2024
Montana,MT,10.2,26.3,75340,84.6,0.3,5.4,0.8,4.9,7.7,1137233,30,2024
Nebraska,NE,10.9,25.2,76376,76.6,4.8,1.3,2.8,13.5,9.9,2005466,31,2024
Nevada,NV,11.6,28.0,81134,48.0,9.5,1.4,9.5,30.6,17.3,3267467,32,2024
New Hampshire,NH,7.2,26.3,99782,87.6,1.5,0.2,2.7,5.0,6.4,1409032,33,2024
New Jersey,NJ,9.2,24.7,104294,52.3,12.9,0.7,10.7,23.5,12.1,9500851,34,2024
New Mexico,NM,16.4,26.3,67816,46.4,2.3,9.7,2.0,49.1,25.8,2130256,35,2024
New York,NY,14.0,24.0,85820,54.3,14.2,0.6,9.5,20.2,10.0,19867248,36,2024
North Carolina,NC,12.5,24.7,73958,60.8,19.8,1.2,3.6,12.0,8.9,11046024,37,2024
North Dakota,ND,11.1,24.3,77871,82.0,3.8,4.3,1.9,5.0,6.7,796568,38,2024
Ohio,OH,12.7,31.3,72212,76.0,12.2,0.2,2.8,5.1,7.0,11883304,39,2024
Oklahoma,OK,14.9,30.8,66148,64.1,6.6,7.1,2.6,13.5,15.1,4095393,40,2024
Oregon,OR,11.8,22.7,85220,73.5,1.9,1.1,4.9,15.5,12.2,4272371,41,2024
Pennsylvania,PA,11.6,32.4,77545,73.5,10.5,0.3,4.2,9.4,7.6,13078751,42,2024
Rhode Island,RI,12.2,27.4,83504,68.5,5.6,0.6,3.8,18.8,13.0,1112308,44,2024
South Carolina,SC,13.3,27.7,72350,63.2,23.6,0.5,2.0,7.9,8.0,5478831,45,2024
South Dakota,SD,10.4,27.9,76881,79.9,2.0,7.6,1.7,4.9,7.1,924669,46,2024
Tennessee,TN,13.5,30.7,71997,72.0,15.0,0.4,2.0,7.8,7.7,7227750,47,2024
Texas,TX,13.4,24.4,79721,47.2,12.3,0.9,6.1,40.3,24.0,31290831,48,2024
Utah,UT,8.3,22.4,96658,77.5,1.2,1.0,2.7,16.9,10.8,3503613,49,2024
Vermont,VT,9.0,25.8,82730,90.1,1.0,0.2,2.1,2.7,6.0,648493,50,2024
Virginia,VA,9.7,23.6,92090,59.3,18.2,0.4,7.2,11.6,10.2,8811195,51,2024
Washington,WA,9.9,21.1,99389,64.0,4.1,1.2,10.7,15.0,13.6,7958180,53,2024
West Virginia,WV,16.7,39.4,60798,89.4,3.2,0.2,0.7,2.3,5.4,1769979,54,2024
Wisconsin,WI,10.3,28.8,77488,79.6,6.1,0.8,3.1,8.4,7.8,5960975,55,2024
Wyoming,WY,10.1,27.9,75532,83.3,0.8,1.7,1.0,11.1,9.0,587618,56,2024
Puerto Rico,PR,37.3,nan,27213,22.7,5.5,0.3,0.2,98.9,38.2,3203295,72,2024
