threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
undetermined,nan,undetermined,mclaughlin,SD,45.8144431,-100.8104113,30.0,male,N,False,False,2021,1229,0,0,0,0,0,0,1,N,0,0,1,0,0,0,0
threat,not,knife,los angeles,CA,34.0362945,-118.1868724,34.0,male,H,True,False,2021,1230,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
undetermined,nan,undetermined,laredo,TX,Unknown/Missing,Unknown/Missing,21.0,male,H,True,False,2021,1231,0,0,0,0,0,0,1,H,0,0,0,0,1,0,0
threat,not,knife,muhlenberg township,PA,40.4116916,-75.927801,62.0,male,W,False,False,2021,1232,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,not,gun,los angeles,CA,34.024335,-118.2558663,37.0,male,H,True,False,2021,1233,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
attack,car,vehicle,hayward,CA,37.6073737,-122.0650212,22.0,male,B,False,True,2021,1234,0,0,0,1,0,0,0,B,0,1,0,0,0,0,0
flee,other,undetermined,devils lake,ND,47.974965,-99.1262897,44.0,male,N,False,False,2021,1235,0,0,0,0,0,0,1,N,0,0,1,0,0,0,0
threat,not,gun,wylie,TX,33.0069427,-96.5484621,36.0,male,W,False,False,2021,1236,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,not,gun,pensacola,FL,30.3328825,-87.1430298,35.0,male,W,True,False,2021,1237,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,nan,knife,cypress,TX,29.9646445,-95.6501121,35.0,male,W,False,True,2021,1238,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,other,gun,miami,FL,25.6072243,-80.3524567,50.0,male,B,True,False,2021,1239,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,not,gun,pasadena,MD,39.1382946,-76.4420022,74.0,male,W,True,False,2021,1240,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,arlington,TX,32.708217,-97.0847967,46.0,male,H,False,False,2021,1241,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
attack,foot,knife,los angeles,CA,34.0568984,-118.2736132,45.0,male,H,True,True,2021,1242,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,not,knife,chattanooga,TN,35.1104453,-85.2820375,29.0,male,W,True,False,2021,1243,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,car,gun,odenville,AL,33.6762103,-86.4073903,41.0,male,W,False,False,2021,1244,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
